epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.3806,3.25161,3.52482,2.40709,0.73504,0.625,0.63913,0.24827,2.46301,1.32797,1.12341,0.000665831,0.000665831,0.000665831
2,183.237,2.31336,1.61278,1.44194,0.83567,0.85,0.79446,0.41644,1.63669,0.83018,0.92533,0.00130611,0.00130611,0.00130611
3,275.736,1.90066,1.23188,1.27516,1,0.79595,0.91381,0.44609,1.69645,0.75374,0.92826,0.00192,0.00192,0.00192
4,377.659,1.70189,1.02722,1.17108,0.96387,0.9,0.96471,0.50524,1.72114,0.69374,0.95128,0.0018812,0.0018812,0.0018812
5,477.308,1.55799,0.9048,1.15009,1,0.92165,0.97327,0.58179,1.24853,0.62171,0.85496,0.0018416,0.0018416,0.0018416
6,569.872,1.43953,0.82639,1.09084,0.99598,1,0.995,0.69946,1.02893,0.51034,0.82411,0.001802,0.001802,0.001802
7,665.643,1.37872,0.7974,1.09089,1,0.96383,0.99405,0.693,0.98435,0.53293,0.81968,0.0017624,0.0017624,0.0017624
8,755.912,1.30616,0.73453,1.03823,0.97432,0.94867,0.99211,0.69081,1.14259,0.54044,0.83585,0.0017228,0.0017228,0.0017228
9,841.606,1.26059,0.70735,1.03834,1,0.97961,0.995,0.78391,0.75904,0.41216,0.79228,0.0016832,0.0016832,0.0016832
10,925.667,1.23602,0.69198,1.02556,0.97056,0.975,0.99078,0.73483,0.8832,0.45564,0.79697,0.0016436,0.0016436,0.0016436
11,1009.76,1.20118,0.66835,1.01043,0.89048,0.875,0.9643,0.67398,1.02342,0.48967,0.81558,0.001604,0.001604,0.001604
12,1093.76,1.15517,0.6349,0.99699,0.94888,0.92809,0.98669,0.81749,0.69541,0.41884,0.7864,0.0015644,0.0015644,0.0015644
13,1177.81,1.14728,0.63106,0.99511,1,0.94224,0.99093,0.73482,0.91622,0.45258,0.80561,0.0015248,0.0015248,0.0015248
14,1261.7,1.13707,0.61922,0.99504,0.99736,0.975,0.99318,0.77496,0.73307,0.43071,0.78655,0.0014852,0.0014852,0.0014852
15,1347.98,1.10161,0.59596,0.97437,1,0.91796,0.97912,0.74076,0.78076,0.46672,0.78638,0.0014456,0.0014456,0.0014456
16,1431.6,1.08169,0.58236,0.97793,0.95058,0.925,0.98433,0.75729,0.8445,0.46116,0.79252,0.001406,0.001406,0.001406
17,1517.55,1.07137,0.57441,0.97612,1,0.97014,0.99451,0.76706,0.75882,0.39756,0.78601,0.0013664,0.0013664,0.0013664
18,1601,1.0433,0.55855,0.96804,1,0.97071,0.99405,0.82823,0.63026,0.35415,0.77579,0.0013268,0.0013268,0.0013268
19,1683.76,1.02845,0.55163,0.95273,1,0.94743,0.99045,0.81142,0.71842,0.38453,0.78354,0.0012872,0.0012872,0.0012872
20,1767.22,1.01111,0.53899,0.94307,0.9928,0.925,0.98761,0.78271,0.67998,0.40451,0.77611,0.0012476,0.0012476,0.0012476
21,1847.5,1.01391,0.53194,0.95057,1,0.92205,0.98679,0.81069,0.63395,0.40664,0.77233,0.001208,0.001208,0.001208
22,1933.02,1.00058,0.52666,0.94199,1,0.99981,0.995,0.80208,0.6812,0.3807,0.77383,0.0011684,0.0011684,0.0011684
23,2013,0.98398,0.52254,0.95192,1,0.99252,0.995,0.79903,0.64004,0.37443,0.76993,0.0011288,0.0011288,0.0011288
24,2104.19,0.9602,0.50794,0.93692,0.97514,0.98069,0.99451,0.79643,0.64277,0.39095,0.77166,0.0010892,0.0010892,0.0010892
25,2182.98,0.96192,0.50239,0.93778,1,0.99922,0.995,0.80946,0.70603,0.3796,0.77724,0.0010496,0.0010496,0.0010496
26,2263.58,0.94762,0.49169,0.92789,1,0.9989,0.995,0.82435,0.60752,0.35262,0.76966,0.00101,0.00101,0.00101
27,2344.8,0.93721,0.48836,0.93109,0.99402,1,0.995,0.82222,0.61586,0.34694,0.77184,0.0009704,0.0009704,0.0009704
28,2422.46,0.92358,0.47092,0.91781,0.97525,0.98545,0.99378,0.83383,0.6212,0.35378,0.7693,0.0009308,0.0009308,0.0009308
29,2498.34,0.91548,0.47557,0.92332,1,0.97309,0.9936,0.83848,0.59214,0.33492,0.76744,0.0008912,0.0008912,0.0008912
