epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.1143,2.94269,4.03129,2.1262,0.90909,0.74997,0.84353,0.42615,1.87156,1.12789,0.94926,0.00066583,0.00066583,0.00066583
2,184.082,1.98313,1.33249,1.32112,0.78986,0.84581,0.89095,0.47737,1.81346,0.866,0.89308,0.00130611,0.00130611,0.00130611
3,270.827,1.65775,0.99088,1.19115,0.97477,0.96596,0.9721,0.56417,1.47345,0.67419,0.85661,0.00192,0.00192,0.00192
4,356.416,1.48993,0.85269,1.11588,0.98527,0.95,0.99243,0.67655,1.25134,0.61639,0.82516,0.0018812,0.0018812,0.0018812
5,446.149,1.40007,0.80132,1.0875,0.97548,0.99468,0.99451,0.65405,1.32534,0.60798,0.83242,0.0018416,0.0018416,0.0018416
6,539.082,1.3038,0.73805,1.04995,1,0.94352,0.9879,0.70818,0.97873,0.53948,0.7855,0.001802,0.001802,0.001802
7,625.664,1.23148,0.67741,1.01992,0.94987,0.94755,0.98795,0.73228,0.88938,0.48078,0.78398,0.0017624,0.0017624,0.0017624
8,713.874,1.18845,0.64617,1.01194,0.99464,0.975,0.99167,0.75418,0.96992,0.51502,0.78309,0.0017228,0.0017228,0.0017228
9,799.606,1.14275,0.62125,0.98792,0.99739,0.925,0.98614,0.803,0.73475,0.41763,0.7712,0.0016832,0.0016832,0.0016832
10,887.72,1.12685,0.596,0.98788,0.97489,0.97063,0.99243,0.72252,0.91448,0.46799,0.77375,0.0016436,0.0016436,0.0016436
11,973.564,1.09136,0.58456,0.97385,0.90121,0.975,0.98659,0.70529,1.05943,0.52994,0.77983,0.001604,0.001604,0.001604
12,1060.8,1.04973,0.56902,0.95803,0.967,0.925,0.98744,0.77317,0.86274,0.45636,0.77304,0.0015644,0.0015644,0.0015644
13,1146.07,1.05821,0.56721,0.95958,0.99695,0.975,0.9936,0.81146,0.77672,0.41817,0.76571,0.0015248,0.0015248,0.0015248
14,1232.34,1.00553,0.54105,0.94773,1,0.97349,0.99405,0.82694,0.79217,0.42855,0.76498,0.0014852,0.0014852,0.0014852
15,1318.09,1.00099,0.52845,0.93431,1,0.97343,0.99451,0.82025,0.78341,0.42378,0.76413,0.0014456,0.0014456,0.0014456
16,1405.02,0.96872,0.51542,0.92799,0.997,1,0.995,0.81832,0.73477,0.38441,0.76133,0.001406,0.001406,0.001406
17,1486.99,0.96177,0.50916,0.93049,0.97384,0.975,0.98934,0.80714,0.80876,0.4241,0.77192,0.0013664,0.0013664,0.0013664
18,1569.43,0.94996,0.4961,0.9261,0.99708,0.975,0.9936,0.82538,0.73599,0.37848,0.76254,0.0013268,0.0013268,0.0013268
19,1650.83,0.9213,0.48684,0.91793,1,0.99908,0.995,0.82544,0.69481,0.34481,0.75247,0.0012872,0.0012872,0.0012872
20,1735.37,0.90874,0.47786,0.91134,0.99793,0.975,0.99278,0.80585,0.71594,0.39183,0.75472,0.0012476,0.0012476,0.0012476
21,1818.7,0.90785,0.46992,0.90858,0.99753,0.975,0.99318,0.82714,0.65137,0.37228,0.74953,0.001208,0.001208,0.001208
22,1902.18,0.89866,0.46876,0.90819,0.99408,1,0.995,0.82298,0.68858,0.36788,0.75327,0.0011684,0.0011684,0.0011684
23,1985.8,0.8703,0.45845,0.89957,0.99638,0.975,0.99405,0.83736,0.67778,0.35923,0.75038,0.0011288,0.0011288,0.0011288
24,2070.07,0.86791,0.45076,0.89503,1,0.99736,0.995,0.84322,0.63243,0.35306,0.74958,0.0010892,0.0010892,0.0010892
25,2154.65,0.86,0.44589,0.90335,0.99662,0.975,0.99202,0.83164,0.64442,0.37693,0.74823,0.0010496,0.0010496,0.0010496
26,2238.54,0.85399,0.43781,0.89385,1,0.99975,0.995,0.83863,0.66179,0.34099,0.752,0.00101,0.00101,0.00101
27,2322.66,0.838,0.43293,0.89184,1,0.99806,0.995,0.81825,0.71638,0.34192,0.75061,0.0009704,0.0009704,0.0009704
28,2406.32,0.82492,0.43313,0.89445,0.99834,0.975,0.9936,0.8478,0.65063,0.34096,0.74558,0.0009308,0.0009308,0.0009308
29,2489.88,0.81458,0.41576,0.88419,1,0.99887,0.995,0.83692,0.63035,0.33252,0.74542,0.0008912,0.0008912,0.0008912
30,2574.4,0.79972,0.41124,0.88197,0.9983,0.975,0.99318,0.8401,0.6157,0.32477,0.74285,0.0008516,0.0008516,0.0008516
