epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.8199,1.40674,1.40272,0.9947,1,0.97301,0.99278,0.65383,1.13193,0.6544,0.78451,0.00066583,0.00066583,0.00066583
2,206.296,1.18463,0.75431,0.92958,0.99873,1,0.995,0.65974,1.14056,0.85218,0.78241,0.00130611,0.00130611,0.00130611
3,310.44,1.12789,0.67058,0.91956,0.98508,0.975,0.99278,0.72977,1.04441,0.58876,0.76979,0.00192,0.00192,0.00192
4,404.349,1.08716,0.61022,0.90076,0.9882,0.975,0.99451,0.75135,0.94771,0.49792,0.75618,0.0018812,0.0018812,0.0018812
5,493.235,1.03985,0.57904,0.88856,0.9994,0.875,0.96192,0.71904,0.92237,0.55506,0.7554,0.0018416,0.0018416,0.0018416
6,580.548,0.99158,0.54713,0.87975,0.99964,0.975,0.99318,0.8009,0.76581,0.45126,0.74545,0.001802,0.001802,0.001802
7,668.386,0.94461,0.51677,0.86521,1,0.99732,0.995,0.78996,0.8252,0.45166,0.75106,0.0017624,0.0017624,0.0017624
8,756.347,0.91999,0.49553,0.86708,0.99113,0.925,0.98744,0.82859,0.71312,0.44741,0.73974,0.0017228,0.0017228,0.0017228
9,846.205,0.88538,0.47869,0.85677,1,0.9463,0.99214,0.80529,0.76461,0.43539,0.74282,0.0016832,0.0016832,0.0016832
10,934.659,0.87961,0.47144,0.86169,1,0.9708,0.99451,0.82209,0.75902,0.42923,0.74589,0.0016436,0.0016436,0.0016436
11,1022.27,0.86939,0.47172,0.85888,0.99513,0.975,0.99451,0.81383,0.72041,0.4047,0.73587,0.001604,0.001604,0.001604
12,1107.76,0.84632,0.45762,0.85175,0.99352,0.975,0.99239,0.85375,0.65929,0.40671,0.73774,0.0015644,0.0015644,0.0015644
13,1196.44,0.83612,0.45506,0.85136,0.97024,0.975,0.98975,0.82593,0.68866,0.39495,0.74032,0.0015248,0.0015248,0.0015248
14,1283.24,0.82178,0.43766,0.85008,1,0.971,0.9936,0.86414,0.55315,0.37424,0.73051,0.0014852,0.0014852,0.0014852
15,1373.66,0.81594,0.43262,0.84486,0.99809,0.95,0.99164,0.84479,0.60982,0.40057,0.73505,0.0014456,0.0014456,0.0014456
16,1461.3,0.79937,0.42574,0.84057,0.99758,0.975,0.99451,0.82973,0.68734,0.3809,0.73403,0.001406,0.001406,0.001406
17,1549.25,0.80175,0.4223,0.84522,0.96867,0.975,0.98829,0.8425,0.64197,0.37457,0.7311,0.0013664,0.0013664,0.0013664
18,1637.48,0.78315,0.41053,0.84051,1,0.98504,0.995,0.86161,0.57179,0.35502,0.72953,0.0013268,0.0013268,0.0013268
19,1722.84,0.77866,0.4087,0.8378,1,0.97235,0.99239,0.86211,0.59925,0.35651,0.7305,0.0012872,0.0012872,0.0012872
20,1811.07,0.75672,0.39724,0.83606,0.99791,0.975,0.99133,0.86134,0.57764,0.35475,0.72898,0.0012476,0.0012476,0.0012476
21,1902.75,0.76571,0.39858,0.83636,1,0.99781,0.995,0.84911,0.62125,0.35025,0.733,0.001208,0.001208,0.001208
22,2000.82,0.75943,0.39419,0.8353,0.99806,1,0.995,0.8611,0.60495,0.36537,0.73078,0.0011684,0.0011684,0.0011684
23,2090.24,0.7352,0.39154,0.82998,0.9689,0.975,0.98856,0.85253,0.64007,0.36512,0.73363,0.0011288,0.0011288,0.0011288
24,2176.42,0.73536,0.38525,0.82983,0.99649,0.975,0.9936,0.87565,0.55826,0.33919,0.72614,0.0010892,0.0010892,0.0010892
25,2260.95,0.73337,0.38485,0.83625,1,0.99389,0.995,0.88139,0.51698,0.35225,0.7279,0.0010496,0.0010496,0.0010496
26,2339.93,0.71895,0.36918,0.82688,0.99729,1,0.995,0.85498,0.58968,0.34293,0.73038,0.00101,0.00101,0.00101
27,2420.93,0.70734,0.3689,0.82745,0.9985,0.975,0.9936,0.86081,0.57494,0.33079,0.73015,0.0009704,0.0009704,0.0009704
28,2502.44,0.70168,0.36634,0.82627,1,0.99722,0.995,0.8669,0.57488,0.33997,0.73112,0.0009308,0.0009308,0.0009308
29,2588.46,0.69622,0.36315,0.82365,0.9971,0.975,0.9936,0.86689,0.6011,0.33518,0.72882,0.0008912,0.0008912,0.0008912
30,2678.95,0.69234,0.35672,0.8249,0.99813,0.975,0.99451,0.87932,0.55825,0.32473,0.72802,0.0008516,0.0008516,0.0008516
31,2775.64,0.69314,0.35714,0.82567,1,0.99777,0.995,0.86855,0.56362,0.32746,0.72632,0.000812,0.000812,0.000812
32,2873.28,0.68024,0.34626,0.82363,1,0.99826,0.995,0.88629,0.54282,0.31352,0.72746,0.0007724,0.0007724,0.0007724
33,2959.86,0.6764,0.34468,0.82517,0.99817,0.975,0.99451,0.88486,0.53948,0.32296,0.72915,0.0007328,0.0007328,0.0007328
34,3046.46,0.66,0.3367,0.81894,0.9975,0.975,0.99451,0.88042,0.50791,0.30922,0.72257,0.0006932,0.0006932,0.0006932
35,3132.61,0.66443,0.33757,0.81732,0.99971,1,0.995,0.87982,0.51134,0.30912,0.72371,0.0006536,0.0006536,0.0006536
36,3222.4,0.65884,0.33474,0.81767,0.99732,0.975,0.99405,0.87378,0.52355,0.30369,0.72266,0.000614,0.000614,0.000614
37,3317.77,0.64486,0.33017,0.81645,1,0.99683,0.995,0.8752,0.52481,0.30843,0.72557,0.0005744,0.0005744,0.0005744
38,3405.39,0.64256,0.32647,0.81771,0.9968,0.975,0.99451,0.88541,0.47597,0.28988,0.7223,0.0005348,0.0005348,0.0005348
39,3502.17,0.64285,0.32359,0.8197,0.99766,0.975,0.99451,0.88904,0.49798,0.288,0.72361,0.0004952,0.0004952,0.0004952
40,3601.14,0.62762,0.31883,0.81639,1,0.99846,0.995,0.89235,0.47459,0.28493,0.72466,0.0004556,0.0004556,0.0004556
41,3684.35,0.62184,0.30602,0.7994,1,0.9977,0.995,0.88254,0.51727,0.29255,0.72391,0.000416,0.000416,0.000416
42,3775.28,0.61914,0.30433,0.79925,1,0.99889,0.995,0.88695,0.52541,0.30194,0.72437,0.0003764,0.0003764,0.0003764
43,3864.91,0.60951,0.29912,0.79882,0.99699,0.975,0.99451,0.88277,0.48275,0.2909,0.72397,0.0003368,0.0003368,0.0003368
44,3950.97,0.59356,0.29183,0.79618,1,0.99799,0.995,0.88528,0.52929,0.29237,0.72483,0.0002972,0.0002972,0.0002972
45,4034.11,0.58907,0.28698,0.79659,1,0.99714,0.995,0.8855,0.49951,0.27839,0.72268,0.0002576,0.0002576,0.0002576
46,4124.22,0.58839,0.28388,0.79515,1,0.99748,0.995,0.89597,0.45613,0.26942,0.72133,0.000218,0.000218,0.000218
47,4220.88,0.57935,0.28167,0.79139,0.99722,0.975,0.99451,0.90247,0.49012,0.28746,0.72192,0.0001784,0.0001784,0.0001784
48,4311.88,0.57471,0.27564,0.79556,0.99709,0.975,0.99405,0.90237,0.4575,0.27156,0.72122,0.0001388,0.0001388,0.0001388
49,4398.63,0.56173,0.27158,0.79387,0.99714,0.975,0.99451,0.89495,0.48611,0.27748,0.72179,9.92e-05,9.92e-05,9.92e-05
50,4498.26,0.55862,0.26839,0.79301,0.99763,0.975,0.99451,0.90997,0.46543,0.27753,0.72195,5.96e-05,5.96e-05,5.96e-05
